Round,Gender,Surface,Name,Country,City,winner_ranking,loser_ranking,winner_h2h,loser_h2h,winner_total_losses,loser_total_losses,winner_surface_losses,loser_surface_losses,winner_total_wins,loser_total_wins,winner_surface_wins,loser_surface_wins,prediction
R32,Male,Grass,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1843,899,3544,2692,1097,1290,1
R32,Male,Grass,Stuttgart,Germany,Stuttgart,177,5,3,1,394,132,1843,899,3544,2692,1097,1290,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R32,Male,Clay,"Stuttgart Outdoor",Germany,Stuttgart,177,5,3,1,394,132,1334,572,3544,2692,1428,756,1
R16,Male,Carpet,"ATP Masters Series Stockholm",Sweden,Stockholm,72,5,4,2,372,132,357,72,22011,2692,565,67,1
R16,Male,Carpet,"ATP Masters Series Stockholm",Sweden,Stockholm,72,5,4,2,372,132,357,72,22011,2692,565,67,1
R16,Male,Carpet,"ATP Masters Series Stockholm",Sweden,Stockholm,72,5,4,2,372,132,357,72,22011,2692,565,67,1
R16,Male,Carpet,"ATP Masters Series Stockholm",Sweden,Stockholm,72,5,4,2,372,132,357,72,22011,2692,565,67,1
R16,Male,Carpet,"ATP Masters Series Stockholm",Sweden,Stockholm,72,5,4,2,372,132,357,72,22011,2692,565,67,1
R16,Male,Hard,"Intrum Stockholm Open",Sweden,Stockholm,72,5,4,2,372,132,2839,521,22011,2692,5962,579,1
R16,Male,Hard,Stockholm,Sweden,Stockholm,72,5,4,2,372,132,2839,521,22011,2692,5962,579,1
R16,Male,Hard,Stockholm,Sweden,Stockholm,72,5,4,2,372,132,2839,521,22011,2692,5962,579,1
R16,Male,Hard,Stockholm,Sweden,Stockholm,72,5,4,2,372,132,2839,521,22011,2692,5962,579,1
R16,Male,Clay,Stockholm,Sweden,Stockholm,72,5,4,2,372,132,1962,572,22011,2692,3420,756,1
R16,Male,Hard,Stockholm,Sweden,Stockholm,72,5,4,2,372,132,2839,521,22011,2692,5962,579,1
